,Job ID,Job Title,Position,Institution,City,Country,Deadline,Published
0,66241,PhD Position – Molecular Neuromedicine,Ph.D. Student,Forschungszentrum Jülich,Genova,Italy,6 February 2022,14 January 2022
1,66078,PhD student position in Neuroscience: Object representation and resolution in a computed sensory map,Ph.D. Student,Technische Universität München,Freising,Germany,31 July 2022,13 January 2022
2,66064,Ph.D. Student : Studying brain circuits involved in spatial orientation in Paris,Ph.D. Student,CNRS - Université de Paris,Paris,France,12 February 2022,12 January 2022
3,66048,PhD in Behavioral Neuroscience in Copenhagen,Ph.D. Student,University of Copenhagen,Copenhagen,Denmark,15 February 2022,12 January 2022
4,65914,PhD student in Experimental Neuroscience,Ph.D. Student,Istituto Italiano di Tecnologia,Rovereto,Italy,10 February 2022,11 January 2022
5,65688,PhD position in neural stem cells biology,Ph.D. Student,Université Laval,Quebec,Canada,28 February 2022,7 January 2022
6,65632,"MEXT Scholarship Ph.D. Student position at Shinshu University, Japan",Ph.D. Student,Shinshu University School of Medicine,Matsumoto,Japan,28 January 2022,5 January 2022
7,65551,Fully funded PhD studentship in computational modelling of decision uncertainty,Ph.D. Student,Ulster University,Derry~Londonderry,United Kingdom,7 February 2022,4 January 2022
8,65544,Postdoctoral and PhD positions in visual processing / neural circuit analysis,Ph.D. Student,Johannes-Gutenberg-University Mainz,Mainz,Germany,31 January 2022,4 January 2022
9,65548,Research in cellular neurosciences,Ph.D. Student,Westfälische Wilhelms-Universität,Münster,Germany,31 January 2022,4 January 2022
10,65443,"Ph.D. position in systems neuroscience, decision-making",Ph.D. Student,Humboldt University of Berlin,Berlin,Germany,28 January 2022,3 January 2022
11,65260,"PhD position in Social Decision-Making and Theory of Mind in Hamburg, Germany",Ph.D. Student,Univeristy Medical Center Hamburg-Eppendorf,Hamburg,Germany,31 May 2022,3 January 2022
12,65234,"PhD @ CERVO recruitment competition – Université Laval, Canada",Ph.D. Student,CERVO Brain Research Centre - Université Laval,Quebec,Canada,1 February 2022,3 January 2022
13,65190,6 PhD studentships in our doctoral training centre in biomimetic embodied AI,Ph.D. Student,University of Sussex,Brighton,United Kingdom,22 February 2022,22 December 2021
14,64982,"Fully-funded PhD positions in Biology, Neuroscience, Mathematics, Computer Science, Physics, Chemistry & Materials, Data Science & Scientific Computing",Ph.D. Student,Institute of Science and Technology Austria - IST Austria,Klosterneuburg,Austria,8 January 2022,21 December 2021
15,64889,COMPSCI PhD program University of Oslo: PhD positions in biological inspired AI and systems neuroscience,Ph.D. Student,University of Oslo,Oslo,Norway,1 February 2022,16 December 2021
16,64753,PhD Internship in Cellular physiology – RiSE (m/f/d) for 9 months,Ph.D. Student,F. Hoffmann-La Roche AG,Rotkreuz,Switzerland,8 January 2022,14 December 2021
17,64636,PhD position: Neuroscience of salamander locomotor circuits before and after spinal cord injury,Ph.D. Student,Université de Sherbrooke,Sherbrooke,Canada,31 March 2022,14 December 2021
18,64578,2022 NERF PhD Program,Ph.D. Student,VIB,Leuven,Belgium,15 December 2021,10 December 2021
19,64444,Ph.D. student: GABAergic synapses and circuits in psychiatric disorders,Ph.D. Student,Mainz University Medical Center,Mainz,Germany,31 January 2022,9 December 2021
0,64396,PhD position in glia research,Ph.D. Student,University of Saarland,Homburg/Saar,Germany,15 January 2022,8 December 2021
1,64319,PhD project on developing anti-sense oligonucleotide approaches for neurodevelopmental disorder by combining largescale molecular and bioinformatic datasets’,Ph.D. Student,Radboud University Medical center,Nijmegen,Netherlands,15 January 2022,8 December 2021
2,64323,PhD project on a human iPSC neuronal platform for neurodevelopmental disorders,Ph.D. Student,Radboud University Medical center,Nijmegen,Netherlands,15 January 2022,8 December 2021
3,64341,PhD position at University of Coimbra,Ph.D. Student,Laboratory of Experimental and Clinical Neurosciences and center for Neuroscience University of Poitiers and Cell Biology University of Coimbra,Poitiers/ Coimbra,France,23 December 2021,8 December 2021
4,64232,PhD position in integrative neuroscience/neurobiology of stress,Ph.D. Student,"INSERM UMR 1253, iBrain - University of Tours, France",Tours,France,1 February 2022,6 December 2021
5,64123,PhD position: Dopaminergic control of brainstem locomotor circuits in mice.,Ph.D. Student,Université de Sherbrooke,Sherbrooke,Canada,31 March 2022,2 December 2021
6,64111,PhD student in Experimental Neuroscience,Ph.D. Student,Istituto Italiano di Tecnologia,ROVERETO,Italy,10 January 2022,2 December 2021
7,63889,PhD in Neuroplasticity,Ph.D. Student,University of Leeds,Leeds,United Kingdom,14 January 2022,30 November 2021
8,63701,PhD in Neuroinflammation/sleep/dementia in humans,Ph.D. Student,University of Surrey,Guildford,United Kingdom,4 January 2022,29 November 2021
9,63590,PhD student/doctoral student,Ph.D. Student,"Leibniz Institute for Neurobiology, Brenneckestrasse 6, 39118 Magdeburg, Germany",Magdeburg,Germany,20 December 2021,24 November 2021
10,63587,PhD position: Floral preferences of bumblebees across a range of European climates,Ph.D. Student,Durham University,Durham,United Kingdom,7 January 2022,24 November 2021
